,Address,Size,Rooms,Floor,Total floors,Price (eur),Price per m2 (eur/m2),Type,Date,Advertiser
197,Beograd Opština Voždovac Vitanovačka ,78,3.0,VPR,4,136500,1750,Premium,03.02.2021.,Agencija
198,Beograd Opština Zvezdara Vukov Spomenik Vojvode Bogdana ,104,4.0,VI,7,258950,2490,Premium,03.02.2021.,Agencija
199,Beograd Opština Zvezdara Vukov Spomenik Vojvode Bogdana ,71,3.0,II,7,180438,2541,Premium,03.02.2021.,Agencija
200,Beograd Opština Savski venac Lisičji potok ,155,4.0,,,410000,2645,Premium,03.02.2021.,Agencija
201,Beograd Opština Voždovac Lekino brdo ,66,3.0,II,3,139500,2114,Premium,03.02.2021.,Agencija
202,Beograd Opština Vračar Kalenić pijaca Hadzi Djerina ,70,2.0,II,5,152000,2171,Premium,03.02.2021.,Agencija
203,Beograd Opština Voždovac Centar ,81,3.0,II,4,170000,2099,Premium,03.02.2021.,Agencija
204,Beograd Opština Vračar Crveni krst ,147,4.0,VII,7,375000,2551,Premium,03.02.2021.,Agencija
205,Beograd Opština Vračar Južni bulevar Sime Igumanova ,150,5.0,VI,6,375000,2500,Premium,03.02.2021.,Agencija
206,Beograd Opština Novi Beograd Bežanijska kosa 1 Stojana Aralice ,141,5.0,IV,4,225000,1596,Premium,03.02.2021.,Vlasnik
207,Beograd Opština Zemun Gornji grad Banijska ,85,3.5,V,6,160650,1890,Premium,03.02.2021.,Agencija
208,Beograd Opština Novi Beograd Tošin bunar Tošin bunar ,76,2.5,IV,10,159000,2092,Premium,03.02.2021.,Agencija
209,Beograd Opština Stari grad Kopitareva gradina Šafarikova ,60,2.0,II,3,168000,2800,Premium,03.02.2021.,Agencija
210,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,101,4.0,III,10,230000,2277,Premium,29.01.2021.,Agencija
211,Beograd Opština Novi Beograd Blok 62 Jurija Gagarina ,7158,2.5,I,7,122500,1711,Premium,02.02.2021.,Vlasnik
212,Beograd Opština Stari grad Centar Svetogorska ,35,2.0,XI,13,104000,2971,Premium,02.02.2021.,Agencija
213,Beograd Opština Novi Beograd Blok 70 (kineski tržni centar) Omladinskih Brigada ,70,2.0,II,4,123000,1757,Premium,02.02.2021.,Agencija
214,Beograd Opština Zvezdara Severni bulevar veljka dugosevica ,11422,3.0,I,3,215800,1889,Premium,02.02.2021.,Investitor
215,Beograd Opština Zvezdara Severni bulevar Veljka Dugoševića ,14996,4.0,VPR,3,261000,1740,Premium,02.02.2021.,Investitor
216,Beograd Opština Palilula Karaburma Juhorska ,58,2.5,VPR,4,74000,1276,Premium,02.02.2021.,Agencija
217,Beograd Opština Zvezdara Bulevar kralja Aleksandra Bulevar Kralja Aleksandra 452 ,7351,3.0,I,6,146358,1991,Premium,02.02.2021.,Investitor
218,Beograd Opština Zvezdara Bulevar kralja Aleksandra Bulevar Kralja Aleksandra 452 ,3335,0.5,V,7,70068,2101,Premium,02.02.2021.,Investitor
219,Beograd Opština Zvezdara Bulevar kralja Aleksandra Bulevar Kralja Aleksandra 452 ,8628,4.0,III,6,171700,1990,Premium,02.02.2021.,Investitor
220,Beograd Opština Stari grad Bajlonijeva pijaca Drinčićeva ,64,2.0,II,4,128000,2000,Premium,02.02.2021.,Vlasnik
221,Beograd Opština Zvezdara Bulevar kralja Aleksandra Bulevar Kralja Aleksandra 452 ,4592,2.0,I,6,91426,1991,Premium,02.02.2021.,Investitor
222,Beograd Opština Zemun Batajnica Braće Smiljanić 81 ,174,3.5,VPR,2,88900,511,Premium,01.02.2021.,Investitor
223,Beograd Opština Voždovac Lekino brdo Tikveška ,4127,2.0,,,78413,1900,Premium,01.02.2021.,Investitor
224,Beograd Opština Stari grad Dorćol Budimska ,48,1.0,I,6,134000,2792,Premium,01.02.2021.,Agencija
225,Beograd Opština Vračar Hram svetog Save Katanićeva ,75,2.0,,,320000,4267,Premium,01.02.2021.,Agencija
226,Beograd Opština Vračar Neimar Janka Veselinovića ,104,3.0,II,5,270000,2596,Premium,01.02.2021.,Vlasnik
227,Beograd Opština Savski venac Beograd na vodi Metropolitan ,108,4.5,XIV,17,389000,3602,Premium,01.02.2021.,Vlasnik
228,Beograd Opština Novi Beograd Blok 28 Španskih boraca ,91,3.5,IV,5,159500,1753,Premium,01.02.2021.,Agencija
229,Beograd Opština Novi Beograd Fontana Narodnih heroja ,64,3.0,I,4,135000,2109,Premium,01.02.2021.,Agencija
230,Beograd Opština Stari grad Terazije Balkanska ,130,4.5,II,3,245000,1885,Premium,01.02.2021.,Agencija
231,Beograd Opština Čukarica Žarkovo Marine Velickovic 15 ,47,2.0,IV,5,81735,1739,Premium,01.02.2021.,Investitor
232,Beograd Opština Čukarica Julino brdo Marine Veličković ,47,1.5,I,5,75000,1596,Premium,01.02.2021.,Agencija
233,Beograd Opština Stari grad Kalemegdan Dunavska ,120,4.0,V,9,419900,3499,Premium,01.02.2021.,Agencija
234,Beograd Opština Vračar Crveni krst Jovana Rajića ,86,3.5,II,7,173000,2012,Premium,01.02.2021.,Vlasnik
235,Beograd Opština Novi Beograd Bežanijska kosa 1 Stojana Aralice ,105,3.0,,,199900,1904,Premium,01.02.2021.,Agencija
236,Beograd Opština Savski venac Beograd na vodi Metropolitan ,51,2.0,X,17,157888,3096,Premium,01.02.2021.,Agencija
237,Beograd Opština Novi Beograd Blok 62 Nehruova ,63,2.5,VPR,13,98500,1563,Premium,01.02.2021.,Agencija
238,Beograd Opština Voždovac Banjica Bulevar oslobodjenja ,72,1.5,V,5,68000,944,Premium,01.02.2021.,Agencija
239,Beograd Opština Novi Beograd Blok 67 (Belvil) Bulevar Crvene Armije ,48,2.0,IX,13,120000,2500,Premium,01.02.2021.,Agencija
240,Beograd Opština Zemun Cara Dušana Cara Dusana 122 ,55,2.0,II,3,93500,1700,Premium,01.02.2021.,Investitor
241,Beograd Opština Zvezdara Cvetkova pijaca Živka Davidovića  ,5967,2.0,V,5,110390,1850,Premium,31.01.2021.,Investitor
242,Beograd Opština Voždovac Lekino brdo ,121,4.0,III,4,235000,1942,Premium,30.01.2021.,Agencija
243,Beograd Opština Vračar Crveni krst ,107,4.0,V,6,288900,2700,Premium,30.01.2021.,Agencija
244,Beograd Opština Savski venac Humska ,78,3.0,,,171600,2200,Premium,29.01.2021.,Agencija
245,Beograd Opština Vračar Maksima Gorkog Maksima Gorkog 36 ,7428,2.5,VIII,9,159702,2150,Premium,29.01.2021.,Investitor
246,Beograd Opština Vračar Maksima Gorkog Maksima Gorkog 36 ,6780,2.5,III,9,145770,2150,Premium,29.01.2021.,Investitor
247,Beograd Opština Vračar Maksima Gorkog Maksima Gorkog 36 ,9214,3.5,VI,9,198101,2150,Premium,29.01.2021.,Investitor
248,Beograd Opština Vračar Maksima Gorkog Maksima Gorkog 36 ,6780,2.5,IV,9,145770,2150,Premium,29.01.2021.,Investitor
249,Beograd Opština Vračar Maksima Gorkog Maksima Gorkog 36 ,7428,2.5,VIII,9,159702,2150,Premium,29.01.2021.,Investitor
250,Beograd Opština Vračar Maksima Gorkog Maksima Gorkog 36 ,8594,3.5,V,9,184771,2150,Premium,29.01.2021.,Investitor
251,Beograd Opština Vračar Maksima Gorkog Maksima Gorkog 36 ,9214,3.5,VII,9,198101,2150,Premium,29.01.2021.,Investitor
252,Beograd Opština Novi Beograd Tošin bunar ,13006,5.0,VII,7,312144,2400,Premium,29.01.2021.,Investitor
253,Beograd Opština Novi Beograd Tošin bunar ,4157,1.5,II,7,83971,2020,Premium,29.01.2021.,Investitor
254,Beograd Opština Novi Beograd Tošin bunar ,9701,4.0,III,7,197900,2040,Premium,29.01.2021.,Investitor
255,Beograd Opština Novi Beograd Tošin bunar ,7596,3.0,V,7,167112,2200,Premium,29.01.2021.,Investitor
256,Beograd Opština Vračar Crveni krst Gročanska ,6607,3.0,III,7,132140,2000,Premium,29.01.2021.,Agencija
257,Beograd Opština Vračar Crveni krst Gročanska ,8655,4.0,IV,7,173100,2000,Premium,29.01.2021.,Agencija
258,Beograd Opština Zvezdara Denkova bašta Krizaniceva ,62,3.0,I,4,127000,2048,Premium,28.01.2021.,Agencija
259,Beograd Opština Čukarica Žarkovo Belog bagrema I Rajka Ruzica ,2768,0.5,I,4,44288,1600,Premium,28.01.2021.,Investitor
260,Beograd Opština Voždovac Kumodraška ,119,4.0,VPR,4,220150,1850,Premium,28.01.2021.,Agencija
261,Beograd Opština Stari grad Skadarlija Skadarska ,87,3.0,IV,6,215000,2471,Premium,28.01.2021.,Agencija
262,Beograd Opština Vračar Kalenić pijaca Novopazarska ,37,2.0,I,4,98500,2662,Premium,28.01.2021.,Vlasnik
263,Beograd Opština Stari grad Trg Republike Dositejeva ,75,3.0,VPR,5,206000,2747,Premium,27.01.2021.,Agencija
264,Beograd Opština Zemun Gornji grad Banijska ,58,2.5,I,6,104400,1800,Premium,27.01.2021.,Agencija
265,Beograd Opština Voždovac Kumodraška ,78,3.0,,,144300,1850,Premium,27.01.2021.,Agencija
266,Beograd Opština Palilula Bogoslovija Višnjička ,5250,2.0,I,5,89400,1703,Premium,27.01.2021.,Vlasnik
267,Beograd Opština Stari grad Dorćol Budimska ,29,1.0,I,6,89000,3069,Premium,27.01.2021.,Agencija
268,Beograd Opština Savski venac Dedinje Milana Blagojevića Španca ,115,4.0,II,3,214900,1869,Premium,27.01.2021.,Agencija
269,Beograd Opština Čukarica Cerak vinogradi Lipa ,47,1.0,,,64000,1362,Premium,27.01.2021.,Vlasnik
270,Beograd Opština Zemun Save Kovačevića  Sava Burića ,54,2.0,VI,11,79000,1463,Premium,27.01.2021.,Agencija
271,Beograd Opština Novi Beograd Blok 45 (TC Enjub) Jurija Gagarina ,50,1.5,XII,13,97000,1940,Premium,27.01.2021.,Vlasnik
272,Beograd Opština Stari grad Dorćol Budimska ,61,2.5,I,6,195000,3197,Premium,27.01.2021.,Agencija
273,Beograd Opština Stari grad Centar Palmoticeva ,108,4.0,III,4,320000,2963,Top,10.02.2021.,Agencija
