,Address,Size,Rooms,Floor,Total floors,Price (eur),Price per m2 (eur/m2),Type,Date,Advertiser
1350,Beograd Opština Voždovac Braće Jerković Vojvode Vlahovića ,72,3.0,III,3,70000,972,Standard,16.02.2021.,Agencija
1351,Beograd Opština Palilula Višnjička Banja Sestara Bukumirović ,57,2.0,PR,1,76000,1333,Standard,16.02.2021.,Agencija
1352,Beograd Opština Vračar Kalenić pijaca Mlatišumina ,74,2.5,IV,5,156000,2108,Standard,16.02.2021.,Agencija
1353,Beograd Opština Rakovica Petlovo brdo Oplenačka ,44,1.5,PR,4,43000,977,Standard,16.02.2021.,Agencija
1354,Beograd Opština Rakovica Petlovo brdo Nićifora Ninkovića ,68,3.0,I,1,68000,1000,Standard,16.02.2021.,Agencija
1355,Beograd Opština Zvezdara Cvetanova ćuprija Ristin potok ,76,3.5,III,3,79900,1051,Standard,16.02.2021.,Agencija
1356,Beograd Opština Novi Beograd Blok 23 Bulevar Milutina Milankovića ,36,1.5,XI,12,69500,1931,Standard,16.02.2021.,Agencija
1357,Beograd Opština Grocka Kaluđerica Željka Milivojevića ,69,2.0,PR,3,51750,750,Standard,16.02.2021.,Agencija
1358,Beograd Opština Grocka Kaluđerica Željka Milivojevića ,75,2.5,II,3,60000,800,Standard,16.02.2021.,Agencija
1359,Beograd Opština Palilula Borča Ivana Milutinovića ,23,1.0,II,3,36000,1565,Standard,16.02.2021.,Agencija
1360,Beograd Opština Palilula Tašmajdan Vladetina ,40,2.0,I,4,103700,2592,Standard,16.02.2021.,Agencija
1361,Beograd Opština Zvezdara Lion Miloša Zečevića ,83,4.0,VPR,5,225000,2711,Standard,16.02.2021.,Agencija
1362,Beograd Opština Zemun Retenzija Prve pruge ,74,2.5,V,7,151000,2041,Standard,16.02.2021.,Agencija
1363,Beograd Opština Voždovac Autokomanda Ustanička ,40,2.0,PR,6,62000,1550,Standard,16.02.2021.,Agencija
1364,Beograd Opština Savski venac Centar Karađorđeva ,100,4.0,II,5,180000,1800,Standard,16.02.2021.,Agencija
1365,Beograd Opština Novi Beograd Blok 45 (TC Enjub) Jurija Gagarina ,55,2.0,II,2,85000,1545,Standard,16.02.2021.,Agencija
1366,Beograd Opština Vračar Kalenić pijaca Mileševska ,58,2.0,VPR,2,155000,2672,Standard,16.02.2021.,Agencija
1367,Beograd Opština Palilula 27. marta 27.marta ,93,4.0,XV,20,185000,1989,Standard,16.02.2021.,Agencija
1368,Beograd Opština Palilula Borča Miladina Zarića ,71,2.5,II,4,63500,894,Standard,16.02.2021.,Agencija
1369,Beograd Opština Novi Beograd Blok 23 Milutina Milankovića ,70,3.0,XVII,20,112000,1600,Standard,16.02.2021.,Agencija
1370,Beograd Opština Zvezdara Vukov Spomenik Kraljice Marije ,110,5,III,3,160000,1455,Standard,16.02.2021.,Agencija
1371,Beograd Opština Savski venac Brankova Brankova ,105,2.5,VI,6,178400,1699,Standard,16.02.2021.,Agencija
1372,Beograd Opština Vračar Krunska Kneginje Zorke ,169,4.0,IV,5,470000,2781,Standard,16.02.2021.,Agencija
1373,Beograd Opština Voždovac Autokomanda Admirala Vukovića ,71,3.0,PR,5,170400,2400,Standard,16.02.2021.,Agencija
1374,Beograd Opština Savski venac Svetozara Markovića Bircaninova ,23,0.5,VPR,4,70000,3043,Standard,16.02.2021.,Agencija
1375,Beograd Opština Zemun Gornji grad Alaska ,58,2.5,II,2,100700,1736,Standard,16.02.2021.,Agencija
1376,Beograd Opština Voždovac Voždovačka crkva Jove Ilića ,40,2.0,VPR,4,103200,2580,Standard,16.02.2021.,Agencija
1377,Beograd Opština Vračar Karađorđev park Nebojšina ,44,2.0,,,45000,1023,Standard,16.02.2021.,Agencija
1378,Beograd Opština Čukarica Golf Beogradskog bataljona ,174,5,IV,4,229000,1316,Standard,24.01.2021.,Agencija
1379,Beograd Opština Stari grad Obilićev venac Obilicev venac ,200,5,I,5,580000,2900,Standard,16.02.2021.,Agencija
1380,Beograd Opština Vračar Neimar Mihaila Gavrilovića ,153,5,V,6,382400,2499,Standard,03.02.2021.,Agencija
1381,Beograd Opština Zvezdara Denkova bašta Kovačeva ,141,3.5,V,5,257000,1823,Standard,05.02.2021.,Agencija
1382,Beograd Opština Čukarica Sremčica Porodice Tanić ,145,5.0,I,1,120000,828,Standard,09.02.2021.,Agencija
1383,Beograd Opština Vračar SC Vračar Požarevačka ,153,5.0,IV,4,250000,1634,Standard,11.02.2021.,Agencija
1384,Beograd Opština Stari grad Politika Kondina ,128,3.0,II,2,358400,2800,Standard,20.01.2021.,Agencija
1385,Beograd Opština Stari grad Kalemegdan Bulevar vojvode Bojovića ,127,4.0,V,8,382500,3012,Standard,07.02.2021.,Agencija
1386,Beograd Opština Zvezdara Lion Ravanička ,135,4.0,VPR,1,225000,1667,Standard,07.02.2021.,Agencija
1387,Beograd Opština Novi Beograd Ledine Vladimira Pogačića    ,132,5.0,PR,2,90000,682,Standard,16.02.2021.,Agencija
1388,Beograd Opština Vračar Krunska Krunska ,109,4.0,III,5,350000,3211,Standard,26.01.2021.,Agencija
1389,Beograd Opština Vračar Crveni krst Metohijska ,109,4.0,I,5,200000,1835,Standard,03.02.2021.,Agencija
1390,Beograd Opština Savski venac Sarajevska Sarajevska ,110,5.0,VI,7,318000,2891,Standard,03.02.2021.,Agencija
1391,Beograd Opština Vračar Kalenić pijaca Tomaša Ježa ,113,3.0,I,5,265000,2345,Standard,04.02.2021.,Agencija
1392,Beograd Opština Savski venac Dedinje Miloja Đaka ,117,4.0,II,3,240000,2051,Standard,04.02.2021.,Agencija
1393,Beograd Opština Palilula Botanička bašta Draže Pavlovića ,103,4.0,II,2,180000,1748,Standard,05.02.2021.,Agencija
1394,Beograd Opština Vračar Kalenić pijaca Sredačka ,120,3.0,I,5,295000,2458,Standard,06.02.2021.,Agencija
1395,Beograd Opština Savski venac Dedinje ,112,4.0,II,2,385000,3438,Standard,06.02.2021.,Agencija
1396,Beograd Opština Stari grad Centar Džordža Vašingtona ,107,3.5,IV,5,210000,1963,Standard,07.02.2021.,Agencija
1397,Beograd Opština Palilula Tašmajdan Svetozara Ćorovića ,120,4.0,V,6,330000,2750,Standard,18.01.2021.,Agencija
1398,Beograd Opština Čukarica Košutnjak Milana Blagojevića Španca ,96,4.0,I,3,172800,1800,Standard,22.01.2021.,Agencija
1399,Beograd Opština Zvezdara Lion Vranjska ,91,3.5,VIII,15,189000,2077,Standard,23.01.2021.,Agencija
1400,Beograd Opština Stari grad Dorćol Budimska ,48,1.0,I,6,134000,2792,Standard,16.02.2021.,Agencija
1401,Beograd Opština Savski venac Centar Gavrila Principa ,68,2.5,IV,4,94000,1382,Standard,16.02.2021.,Agencija
1402,Beograd Opština Savski venac Klinički centar Deligradska ,91,3.0,V,6,210000,2308,Standard,29.01.2021.,Agencija
1403,Beograd Opština Vračar Cvetni trg Kralja Milana ,38,2.0,PR,3,85000,2237,Standard,16.02.2021.,Agencija
1404,Beograd Opština Stari grad Dorćol Gospodar Jovanova ,93,3.5,III,4,250000,2688,Standard,29.01.2021.,Agencija
1405,Beograd Opština Savski venac Dedinje Milana Blagojevića Španca ,96,4.0,I,3,172800,1800,Standard,03.02.2021.,Agencija
1406,Beograd Opština Novi Beograd Blok 63 Gandijeva ,94,3.0,X,10,112000,1191,Standard,03.02.2021.,Agencija
1407,Beograd Opština Vračar Pravni fakultet Beogradska ,92,3.0,III,6,205000,2228,Standard,03.02.2021.,Agencija
1408,Beograd Opština Stari grad Dorćol Solunska ,91,3.0,XII,12,237000,2604,Standard,07.02.2021.,Agencija
1409,Beograd Opština Savski venac Dedinje Miloja Đaka ,98,4.0,I,4,279999,2857,Standard,09.02.2021.,Agencija
1410,Beograd Opština Voždovac Braće Jerković Dukatska ,92,2.0,VPR,3,115000,1250,Standard,09.02.2021.,Agencija
1411,Beograd Opština Vračar Kalenić pijaca Požarevačka ,99,3.0,I,5,278000,2808,Standard,18.01.2021.,Agencija
1412,Beograd Opština Zvezdara Đeram pijaca Vojvode Bogdana ,93,3.0,VPR,5,199000,2140,Standard,16.02.2021.,Agencija
1413,Beograd Opština Vračar Kalenić pijaca Hadži Ruvimova ,85,3.5,VIII,10,215000,2529,Standard,19.01.2021.,Agencija
1414,Beograd Opština Novi Beograd Bežanijska kosa 3 Vespučijeva ,81,4.0,V,5,137500,1698,Standard,22.01.2021.,Agencija
1415,Beograd Opština Stari grad Bajlonijeva pijaca Jelisavete Načić ,90,4.0,III,5,225000,2500,Standard,22.01.2021.,Agencija
1416,Beograd Opština Stari grad Skupština Majke Jevrosime ,87,3.0,II,6,234000,2690,Standard,27.01.2021.,Agencija
1417,Beograd Opština Palilula Profesorska kolonija Bulevar Despota Stefana ,84,3.0,II,8,137000,1631,Standard,30.01.2021.,Agencija
1418,Beograd Opština Vračar Crveni krst Cerska ,81,4.0,III,3,205000,2531,Standard,03.02.2021.,Agencija
1419,Beograd Opština Novi Beograd Blok 64 Jurija Gagarina ,85,2.0,VPR,4,179500,2112,Standard,03.02.2021.,Agencija
1420,Beograd Opština Novi Beograd Bežanijska kosa 2 Peđe Milosavljevića ,83,2.5,PR,6,179800,2166,Standard,03.02.2021.,Agencija
1421,Beograd Opština Vračar Južni bulevar Sime Igumanova ,90,4.5,II,12,180000,2000,Standard,03.02.2021.,Agencija
1422,Beograd Opština Vračar Čubura Černiševskog ,89,3.0,,,170000,1910,Standard,05.02.2021.,Agencija
1423,Beograd Opština Zemun Gornji grad Alaska ,48,1.5,I,2,83200,1733,Standard,16.02.2021.,Agencija
1424,Beograd Opština Voždovac Braće Jerković Dukatska ,90,2.0,VPR,3,115000,1278,Standard,07.02.2021.,Agencija
1425,Beograd Opština Vračar Kalenić pijaca ,81,3.0,I,5,220000,2716,Standard,08.02.2021.,Agencija
1426,Beograd Opština Voždovac Braće Jerković Skendera Kulenovića ,81,3.0,VI,7,110000,1358,Standard,09.02.2021.,Agencija
1427,Beograd Opština Rakovica Vidikovac Vidikovački venac ,84,3.0,VI,12,89000,1060,Standard,09.02.2021.,Agencija
1428,Beograd Opština Stari grad Dorćol Skender Begova ,85,3.0,III,5,215000,2529,Standard,14.02.2021.,Agencija
1429,Beograd Opština Vračar Hram svetog Save Brane Crnčevića ,85,4.0,PR,5,185000,2176,Standard,18.01.2021.,Agencija
1430,Beograd Opština Vračar Neimar Mihaila Gavrilovića ,86,3.5,V,6,215375,2504,Standard,14.02.2021.,Agencija
1431,Beograd Opština Palilula Ruzveltova Albanske spomenice ,85,3.0,IV,5,160000,1882,Standard,18.01.2021.,Agencija
1432,Beograd Opština Čukarica Žarkovo Spasovdanska ,76,4.5,IV,4,127000,1671,Standard,30.01.2021.,Agencija
1433,Beograd Opština Voždovac Banjica Crnotravska ,80,3.0,I,10,115000,1438,Standard,01.02.2021.,Agencija
1434,Beograd Opština Novi Beograd Bežanijska kosa 2 Ismeta Mujezinovića ,71,2.0,PR,7,120000,1690,Standard,06.02.2021.,Agencija
1435,Beograd Opština Zvezdara Denkova bašta Kovačeva ,80,3.5,IV,5,146000,1825,Standard,07.02.2021.,Agencija
1436,Beograd Opština Novi Beograd Paviljoni Sremskih odreda ,74,3.0,V,5,114900,1553,Standard,09.02.2021.,Agencija
1437,Beograd Opština Vračar Neimar Mihaila Gavrilovića ,69,2.5,IV,6,171500,2486,Standard,19.01.2021.,Agencija
1438,Beograd Opština Vračar Crveni krst Cerska ,64,3.0,I,4,128000,2000,Standard,22.01.2021.,Agencija
1439,Beograd Opština Stari grad Skadarlija Skadarska ,67,2.5,IV,5,130000,1940,Standard,26.01.2021.,Agencija
1440,Beograd Opština Savski venac Dedinje Velisava Vulovića ,68,1.5,I,3,160000,2353,Standard,29.01.2021.,Agencija
1441,Beograd Opština Savski venac Dedinje Bulevar kneza Aleksandra Karađorđevića ,66,3.0,PR,4,122000,1848,Standard,30.01.2021.,Agencija
1442,Beograd Opština Stari grad Dorćol Dzordza Vašingtona ,66,3.0,VII,8,160000,2424,Standard,03.02.2021.,Agencija
1443,Beograd Opština Zvezdara Lion Ulcinjska ,61,2.5,V,6,125000,2049,Standard,05.02.2021.,Agencija
1444,Beograd Opština Vračar Krunska Molerova ,64,2.0,PR,1,139000,2172,Standard,07.02.2021.,Agencija
1445,Beograd Opština Voždovac Lekino brdo Rade Končara ,68,2.5,I,4,130000,1912,Standard,09.02.2021.,Agencija
1446,Beograd Opština Rakovica Vidikovac Vidikovački venac ,70,3.0,VIII,9,94000,1343,Standard,09.02.2021.,Agencija
1447,Beograd Opština Novi Beograd Blok 63 Gandijeva ,66,2.0,VPR,4,92000,1394,Standard,10.02.2021.,Agencija
1448,Beograd Opština Stari grad Knez Mihailova Cara Lazara ,65,2.5,VI,6,175000,2692,Standard,18.01.2021.,Agencija
1449,Beograd Opština Savski venac Palata pravde Sarajevska ,51,2.5,IV,10,111900,2194,Standard,24.01.2021.,Agencija
1450,Beograd Opština Zvezdara Denkova bašta Velikomoravska ,59,2.5,IV,4,84000,1424,Standard,25.01.2021.,Agencija
1451,Beograd Opština Zvezdara Rudo Virpazarska ,55,2.0,PR,6,125000,2273,Standard,28.01.2021.,Agencija
1452,Beograd Opština Zvezdara Severni bulevar Veljka Dugoševića ,56,2.5,II,10,98000,1750,Standard,29.01.2021.,Agencija
1453,Beograd Opština Zemun Save Kovačevića Dragana Rakića ,58,2.0,III,3,104000,1793,Standard,03.02.2021.,Agencija
1454,Beograd Opština Zvezdara Gradska bolnica Učitelja Miloša Jankovića ,57,2.5,PR,4,108000,1895,Standard,03.02.2021.,Agencija
1455,Beograd Opština Stari grad Bajlonijeva pijaca Gundulićev venac ,52,1.0,PR,6,104900,2017,Standard,07.02.2021.,Agencija
1456,Beograd Opština Zvezdara Đeram pijaca Vojvode Savatija ,59,2.0,VI,6,125000,2119,Standard,07.02.2021.,Agencija
1457,Beograd Opština Vračar Kalenić pijaca Maksima Gorkog ,54,2.5,II,5,127000,2352,Standard,08.02.2021.,Agencija
1458,Beograd Opština Palilula Tašmajdan Miročka ,57,2.0,IV,10,154000,2702,Standard,09.02.2021.,Agencija
1459,Beograd Opština Vračar Čubura Šumatovačka ,54,2.0,PR,4,115000,2130,Standard,09.02.2021.,Agencija
1460,Beograd Opština Vračar Kalenić pijaca Kičevska ,60,2.0,PR,6,121000,2017,Standard,09.02.2021.,Agencija
1461,Beograd Opština Čukarica Banovo brdo Nodilova ,55,2.0,VI,7,118000,2145,Standard,10.02.2021.,Agencija
1462,Beograd Opština Voždovac Lekino brdo Garibaldijeva ,53,2.0,I,4,106000,2000,Standard,10.02.2021.,Agencija
1463,Beograd Opština Zvezdara Denkova bašta Kovačeva ,51,2.5,I,5,93500,1833,Standard,13.02.2021.,Agencija
1464,Beograd Opština Zvezdara Denkova bašta Kovačeva ,57,2.5,III,5,104000,1825,Standard,18.01.2021.,Agencija
1465,Beograd Opština Savski venac Savski trg - Pristanište Sarajevska ,51,2.5,IV,10,111900,2194,Standard,18.01.2021.,Agencija
1466,Beograd Opština Zvezdara Kluz ,51,2.0,I,4,80000,1569,Standard,21.01.2021.,Agencija
1467,Beograd Opština Vračar Slavija Prote Mateje ,51,2.0,IV,5,110000,2157,Standard,22.01.2021.,Agencija
1468,Beograd Opština Zvezdara Lipov lad Vojislava Ilića ,50,2.0,V,7,107000,2140,Standard,20.01.2021.,Agencija
1469,Beograd Opština Savski venac Sarajevska Sarajevska ,49,2.0,IV,6,105000,2143,Standard,22.01.2021.,Agencija
1470,Beograd Opština Vračar Krunska Kneginje Zorke ,48,2.0,IV,5,130000,2708,Standard,22.01.2021.,Agencija
1471,Beograd Opština Zvezdara Denkova bašta Kovačeva ,46,2.0,III,5,84500,1837,Standard,24.01.2021.,Agencija
1472,Beograd Opština Zvezdara Vukov Spomenik Vojvode Bogdana ,43,1.5,I,6,115000,2674,Standard,24.01.2021.,Agencija
1473,Beograd Opština Vračar Crveni krst Vojislava Ilića ,50,2.0,V,7,107000,2140,Standard,27.01.2021.,Agencija
1474,Beograd Opština Savski venac Sarajevska Miloša Pocerca ,46,2.0,I,5,115000,2500,Standard,27.01.2021.,Agencija
1475,Beograd Opština Zemun Save Kovačevića Miće Radakovića ,55,2.5,I,2,87000,1582,Standard,16.02.2021.,Agencija
1476,Beograd Opština Vračar Kalenić pijaca Hadži Đerina ,45,1.5,II,4,114900,2553,Standard,30.01.2021.,Agencija
1477,Beograd Opština Vračar Kalenić pijaca Loznička ,43,2.0,IV,5,81900,1905,Standard,29.01.2021.,Agencija
1478,Beograd Opština Zvezdara Vukov Spomenik Jovana Ćirilova ,45,1.5,VPR,6,120000,2667,Standard,03.02.2021.,Agencija
1479,Beograd Opština Zvezdara Gradska bolnica Dimitrija Tucovića ,50,1.5,I,4,89000,1780,Standard,06.02.2021.,Agencija
1480,Beograd Opština Savski venac Dedinje Sime Lozanića ,45,1.5,VPR,5,94500,2100,Standard,07.02.2021.,Agencija
1481,Beograd Opština Vračar Crveni krst Jovana Rajića ,42,1.0,,,88000,2095,Standard,07.02.2021.,Agencija
1482,Beograd Opština Čukarica Filmski grad Arčibalda Rajsa ,44,1.5,PR,4,60000,1364,Standard,08.02.2021.,Agencija
1483,Beograd Opština Zvezdara Kluz Madridska ,41,2.0,II,4,82000,2000,Standard,09.02.2021.,Agencija
1484,Beograd Opština Vračar Hram svetog Save Patrijarha Varnave ,42,1.5,VPR,4,140000,3333,Standard,10.02.2021.,Agencija
1485,Beograd Opština Novi Beograd Arena Antifašističke borbe ,43,1.5,V,6,120000,2791,Standard,11.02.2021.,Agencija
1486,Beograd Opština Savski venac Beograđanka Admirala Geprata ,48,2.0,VPR,2,115000,2396,Standard,11.02.2021.,Agencija
1487,Beograd Opština Zvezdara Denkova bašta Kovačeva ,50,2.0,II,5,92000,1840,Standard,18.01.2021.,Agencija
1488,Beograd Opština Zvezdara Gradska bolnica Knjaževačka ,36,1.0,III,3,57000,1583,Standard,22.01.2021.,Agencija
1489,Beograd Opština Zvezdara Lion Bregalnička ,40,2.0,I,5,99900,2498,Standard,22.01.2021.,Agencija
1490,Beograd Opština Zvezdara Dimitrija Tucovića Braće Ribnikar ,34,1.0,VPR,4,59000,1735,Standard,03.02.2021.,Agencija
1491,Beograd Opština Zemun Gornji grad Banatska ,37,2.0,PR,3,74000,2000,Standard,06.02.2021.,Agencija
1492,Beograd Opština Vračar Kalenić pijaca Hadži Prodanova ,33,1.0,II,4,85000,2576,Standard,06.02.2021.,Agencija
1493,Beograd Opština Palilula Centar Jovana Avakumovića ,39,1.0,VIII,8,98000,2513,Standard,07.02.2021.,Agencija
1494,Beograd Opština Čukarica Banovo brdo Požeška ,40,1.0,III,7,82000,2050,Standard,09.02.2021.,Agencija
1495,Beograd Opština Zvezdara Lipov lad Trajka Stamenkovića ,40,1.5,VPR,4,87500,2188,Standard,10.02.2021.,Agencija
1496,Beograd Opština Savski venac Sarajevska Sarajevska ,35,1.0,III,3,79000,2257,Standard,13.02.2021.,Agencija
1497,Beograd Opština Zvezdara Severni bulevar Urosa Trojanovica ,37,1.5,VPR,3,68000,1838,Standard,14.02.2021.,Agencija
1498,Beograd Opština Zvezdara Vukov Spomenik Zahumska ,51,2.0,VI,6,107000,2098,Standard,16.02.2021.,Agencija
1499,Beograd Opština Rakovica Miljakovac Stanka Paunovića Veljka ,28,1.0,PR,4,36000,1286,Standard,26.01.2021.,Agencija
1500,Beograd Opština Vračar Kalenić pijaca Sinđelićeva ,28,1.0,II,4,72000,2571,Standard,31.01.2021.,Agencija
1501,Beograd Opština Rakovica Petlovo brdo Georgija Ostrogorskog ,30,0.5,PR,2,36000,1200,Standard,03.02.2021.,Agencija
1502,Beograd Opština Zvezdara Gradska bolnica Milana Grola ,25,0.5,VPR,5,55000,2200,Standard,07.02.2021.,Agencija
1503,Beograd Opština Rakovica Stari Košutnjak Pere Velimirovića ,92,4.0,II,6,165000,1793,Standard,16.02.2021.,Agencija
1504,Beograd Opština Novi Beograd Blok 4 (Politehnička akademija) Bulevar Zorana Djindjića ,58,2.5,XX,20,80000,1379,Standard,16.02.2021.,Agencija
1505,Beograd Opština Vračar Kalenić pijaca Niška ,40,1.5,VPR,8,109900,2748,Standard,16.02.2021.,Agencija
1506,Beograd Opština Vračar Hram svetog Save SVETOG SAVE ,130,4.0,I,3,300000,2308,Standard,16.02.2021.,Agencija
1507,Beograd Opština Stari grad Dom omladine BRAĆE JUGOVIĆA ,85,3.5,II,5,260000,3059,Standard,16.02.2021.,Agencija
1508,"Beograd Opština Stari grad Obilićev venac ZMAJ JOVINA, OBILIĆEV VENAC ",174,4.0,VIII,8,500000,2874,Standard,16.02.2021.,Agencija
1509,Beograd Opština Novi Beograd YUBC Bulevar Mihajla Pupina  ,147,3.5,VII,7,379900,2584,Standard,16.02.2021.,Agencija
1510,Beograd Opština Palilula Borča Ratnih Vojnih Invalida ,76,3.0,III,4,59500,783,Standard,16.02.2021.,Agencija
1511,"Beograd Opština Stari grad Studentski trg KAPETAN  MIŠINA,  JEVREMOVA ",160,5,I,5,590000,3688,Standard,16.02.2021.,Agencija
1512,Beograd Opština Novi Beograd Blok 21  Bulevar Zorana Đinđića ,39,1.0,III,3,105000,2692,Standard,16.02.2021.,Agencija
1513,Beograd Opština Savski venac Humska Zvečanska ,68,2.5,I,4,125000,1838,Standard,16.02.2021.,Agencija
1514,Beograd Opština Zemun Gornji grad Alaska ,48,1.5,VPR,2,83200,1733,Standard,16.02.2021.,Agencija
1515,Beograd Opština Savski venac Kraljice Natalije Kraljice Natalije ,90,3.0,III,3,190000,2111,Standard,16.02.2021.,Agencija
1516,Beograd Opština Lazarevac Lazarevac (mesto) Orašačka ,86,3.0,I,3,65000,756,Standard,16.02.2021.,Agencija
1517,Beograd Opština Palilula Centar Vojvode Dobrnjca ,74,3.5,III,4,159900,2161,Standard,16.02.2021.,Agencija
1518,Beograd Opština Novi Beograd Fontana Pariske komune ,80,3.0,VIII,9,132000,1650,Standard,20.01.2021.,Agencija
1519,Beograd Opština Novi Beograd Blok 30 (B92) Bulevar Zorana Đinđića ,73,3.0,VPR,5,122000,1671,Standard,22.01.2021.,Agencija
1520,Beograd Opština Novi Beograd Blok 45 (TC Enjub) Jurija Gagarina ,55,2.0,III,9,94900,1725,Standard,01.02.2021.,Agencija
1521,Beograd Opština Novi Beograd Blok 45 (TC Enjub) Jurija Gagarina ,82,3.0,V,11,137000,1671,Standard,12.02.2021.,Agencija
1522,Beograd Opština Čukarica Banovo brdo Kraljice Katarine ,113,3.5,I,2,260000,2301,Standard,16.02.2021.,Agencija
1523,Beograd Opština Čukarica Banovo brdo Kraljice Katarine ,128,3.5,I,2,320000,2500,Standard,16.02.2021.,Agencija
1524,Beograd Opština Palilula Krnjača Grge Andrijanovica ,47,2.0,II,3,42000,894,Standard,16.02.2021.,Vlasnik
1525,Beograd Opština Vračar Kalenić pijaca Mutapova ,72,2.5,V,6,179000,2486,Standard,16.02.2021.,Agencija
1526,Beograd Opština Vračar Krunska ALEKSE NENADOVICA ,85,4.0,III,3,180000,2118,Standard,16.02.2021.,Agencija
1527,Beograd Opština Novi Beograd Hotel Jugoslavija Džona Kenedija ,51,2.0,V,5,103000,2020,Standard,16.02.2021.,Agencija
1528,Beograd Opština Vračar Krunska SMILjANIĆEVA ,56,2.0,II,5,139000,2482,Standard,16.02.2021.,Agencija
1529,Beograd Opština Savski venac Sajam bulevar vojvode misica ,108,4.0,V,7,189000,1750,Standard,11.02.2021.,Agencija
1530,Beograd Opština Vračar Krunska Kneginje Zorke  ,107,3.5,I,1,260000,2430,Standard,16.02.2021.,Agencija
1531,Beograd Opština Palilula Karaburma Milorada Dimitrijevica ,3821,1.5,VII,7,52729,1380,Standard,01.02.2021.,Agencija
1532,Beograd Opština Palilula Karaburma Milorada Dimitrijevica ,4411,2.0,VPR,7,61754,1400,Standard,02.02.2021.,Agencija
1533,Beograd Opština Zvezdara Mirijevo Ljubiše Miodragovića ,60,2.5,PR,3,47000,783,Standard,16.02.2021.,Agencija
1534,Beograd Opština Zvezdara Mirijevo Samjuela Beketa ,67,3.0,IV,5,99000,1478,Standard,26.01.2021.,Agencija
1535,Beograd Opština Palilula Borča  ,42,2.0,II,3,49900,1188,Standard,16.02.2021.,Agencija
1536,Beograd Opština Novi Beograd Blok 60 Tosin bunar ,76,3.0,I,7,145500,1914,Standard,16.02.2021.,Agencija
1537,Beograd Opština Zvezdara Zvezdarska šuma Veljka Dugoševića ,135,3.0,VPR,3,229500,1700,Standard,16.02.2021.,Agencija
1538,Beograd Opština Voždovac Jove Ilića Jove Ilića ,228,5,IV,5,380000,1667,Standard,16.02.2021.,Agencija
1539,Beograd Opština Vračar Cvetni trg Krunska ,109,4.0,II,5,350000,3211,Standard,16.02.2021.,Agencija
1540,Beograd Opština Novi Beograd Arena ,57,2.5,,,86000,1509,Standard,08.02.2021.,Agencija
1541,Beograd Opština Novi Beograd Blok 38 Omladinskih brigada ,62,2.0,VII,8,114000,1839,Standard,16.02.2021.,Agencija
1542,Beograd Opština Voždovac Braće Jerković ,55,2.5,VIII,11,75000,1364,Standard,09.02.2021.,Agencija
1543,Beograd Opština Rakovica Vidikovačka padina ,72,2.5,,,72999,1014,Standard,12.02.2021.,Agencija
1544,Beograd Opština Čukarica Banovo brdo Pozeska ,85,2.5,,,84000,988,Standard,16.02.2021.,Agencija
1545,Beograd Opština Novi Beograd Blok 63 Jurija Gagarina ,63,2.5,VI,14,100000,1587,Standard,16.02.2021.,Agencija
1546,Beograd Opština Voždovac Vojvode Stepe Vojvode Stepe ,41,2.0,,,78900,1924,Standard,16.02.2021.,Agencija
1547,Beograd Opština Voždovac Medaković 2 Radovana Simica Cige ,36,1.0,,,55000,1528,Standard,16.02.2021.,Agencija
1548,Beograd Opština Voždovac Medaković 3 Borivoja Stevanovica ,60,2.5,,,68000,1133,Standard,16.02.2021.,Agencija
1549,Beograd Opština Zvezdara Gradska bolnica Batutova ,49,2.0,PR,4,69000,1408,Standard,16.02.2021.,Agencija
1550,Beograd Opština Čukarica Filmski grad Arcibalda Rajsa ,40,2.0,PR,4,50000,1250,Standard,16.02.2021.,Vlasnik
1551,Beograd Opština Zvezdara Kluz Losinska ,70,3.5,I,4,114996,1643,Standard,16.02.2021.,Agencija
1552,Beograd Opština Palilula Cvijićeva Poenkareva ,54,2.5,,,115000,2130,Standard,16.02.2021.,Agencija
1553,Beograd Opština Zvezdara Mirijevo Nade Purić ,110,4.0,I,2,90000,818,Standard,16.02.2021.,Agencija
1554,Beograd Opština Stari grad Topličin venac Topličin venac ,98,4.0,VI,6,225000,2296,Standard,16.02.2021.,Agencija
1555,Beograd Opština Savski venac Centar Durmitorska ,126,4.0,IV,6,300000,2381,Standard,16.02.2021.,Agencija
1556,Beograd Opština Savski venac Svetozara Markovića Svetozara Markovića-Vračar ,75,3.0,,,115000,1533,Standard,16.02.2021.,Agencija
1557,Beograd Opština Novi Beograd Blok 29 Bulevar Arsenija Čarnojevića ,81,3.5,PR,7,122000,1506,Standard,16.02.2021.,Agencija
1558,Beograd Opština Zemun Novi grad Atanasija Pulje ,80,4.0,VPR,1,72000,900,Standard,16.02.2021.,Agencija
1559,Beograd Opština Zemun Novi grad ,105,4.0,I,2,1425,14,Standard,16.02.2021.,Vlasnik
1560,Beograd Opština Vračar Crveni krst Maksima Gorkog ,59,1.5,V,5,99500,1686,Standard,16.02.2021.,Agencija
1561,Beograd Opština Vračar Crveni krst Maksima Gorkog ,14,0.5,V,5,38500,2750,Standard,16.02.2021.,Agencija
1562,Beograd Opština Palilula Tašmajdan Kraljice Marije ,60,2.0,IV,6,152500,2542,Standard,16.02.2021.,Agencija
1563,Beograd Opština Zvezdara Mirijevo Pupinova ,73,2.5,II,3,95000,1301,Standard,16.02.2021.,Agencija
